metric,mode,fold,model,n_train,n_test,zero_change_frac,y_std,skill_vs_zero,r2,mae,median_ae,spearman,direction_acc,majority_direction,decile_top_mean,decile_bottom_mean,decile_spread,decile_spread_median
current_assets,group_cv,0,B0_zero,55847,13962,0.04941985388912763,1.3183092780505068,0.0,-7.196024798239442e-05,0.665675360028727,0.28311752340058666,,0.0,0.5160488245931284,,,,
current_assets,group_cv,0,B1_train_mean,55847,13962,0.04941985388912763,1.3183092780505068,-4.769709712415526e-05,-0.00011966077740166448,0.6670818211723358,0.2813558900750446,,0.5160488245931284,0.5160488245931284,,,,
current_assets,group_cv,0,B2_group_mean,55847,13962,0.04941985388912763,1.3183092780505068,0.00028001727550885924,0.00020807717763904332,0.6688780585396463,0.28252182609406773,0.041893645268896294,0.5301386377335744,0.5160488245931284,0.14390268117504104,-0.006665702523930227,0.15056838369897127,0.0238868523947157
current_assets,group_cv,0,B3_gbm,55847,13962,0.04941985388912763,1.3183092780505068,0.09760503809152643,0.09754010152628934,0.6983034512960496,0.34414575225228183,0.16320301097406373,0.543701024713683,0.5160488245931284,1.007516134327445,-0.328567052539235,1.33608318686668,0.0339874630836857
current_assets,group_cv,1,B0_zero,55847,13962,0.047127918636298526,1.2573678794483372,0.0,-0.00026105601066794826,0.6439446191748739,0.2898441755490024,,0.0,0.5166867107636801,,,,
current_assets,group_cv,1,B1_train_mean,55847,13962,0.047127918636298526,1.2573678794483372,0.00025527641376021926,-5.712955465586589e-06,0.6450281792636938,0.288777860173246,,0.5166867107636801,0.5166867107636801,,,,
current_assets,group_cv,1,B2_group_mean,55847,13962,0.047127918636298526,1.2573678794483372,0.0007780378039984326,0.0005171849047757027,0.6463996503835163,0.28932962288457276,0.046510922158350704,0.5261575466025256,0.5166867107636801,0.10388971747881086,-0.10162728532386221,0.20551700280267307,0.0416932796228213
current_assets,group_cv,1,B3_gbm,55847,13962,0.047127918636298526,1.2573678794483372,0.09432324236010081,0.0940868099987966,0.6758311778325033,0.34361863567041057,0.15204598497037805,0.5360042092603728,0.5166867107636801,0.9515798392919965,-0.268669355425528,1.2202491947175245,0.0668006882213941
current_assets,group_cv,2,B0_zero,55847,13962,0.05192665807190947,1.2812201768389235,0.0,-0.0005950435535013732,0.6596350427984531,0.2899555175359678,,0.0,0.5149202991614414,,,,
current_assets,group_cv,2,B1_train_mean,55847,13962,0.05192665807190947,1.2812201768389235,0.0005254134391372567,-6.931747048422032e-05,0.6606607249362418,0.28948299599764915,,0.5149202991614414,0.5149202991614414,,,,
current_assets,group_cv,2,B2_group_mean,55847,13962,0.05192665807190947,1.2812201768389235,0.001155962189038906,0.0005616064833861012,0.6623943490651372,0.28840185848807937,0.04737184730783509,0.5280652715872176,0.5149202991614414,0.12230650470277267,-0.08200074188989659,0.20430724659266924,0.0019186446498941
current_assets,group_cv,2,B3_gbm,55847,13962,0.05192665807190947,1.2812201768389235,0.10977851055459176,0.10924878999610876,0.6860589987535478,0.34362751155129134,0.17786580966402574,0.5474805469517262,0.5149202991614414,1.1028218667142453,-0.311793143341057,1.4146150100553023,0.0404326941568466
current_assets,group_cv,3,B0_zero,55847,13962,0.04848875519266581,1.3146418307784873,0.0,-0.000999081418932679,0.6570056056669491,0.27904894529606133,,0.0,0.5227700414000753,,,,
current_assets,group_cv,3,B1_train_mean,55847,13962,0.04848875519266581,1.3146418307784873,0.0006777190527771371,-0.0003206852696426843,0.6575838701062772,0.27908350548832583,,0.5227700414000753,0.5227700414000753,,,,
current_assets,group_cv,3,B2_group_mean,55847,13962,0.04848875519266581,1.3146418307784873,0.00023721105316887314,-0.0007616333726081503,0.6602140662191577,0.2795440838668013,0.02786291726975295,0.5217914941663531,0.5227700414000753,0.07483425248568323,-0.015557213584441646,0.09039146607012488,0.0112621387157982
current_assets,group_cv,3,B3_gbm,55847,13962,0.04848875519266581,1.3146418307784873,0.11151219618637964,0.1106245245306412,0.682649128812696,0.3284926638256045,0.178138139762347,0.5374482499059089,0.5227700414000753,1.0986645623257025,-0.32826146317702104,1.4269260255027236,0.10275860667847331
current_assets,group_cv,4,B0_zero,55848,13961,0.048134087816059025,1.2663097798545146,0.0,-5.385020550985331e-05,0.6545612005532844,0.2878929869503146,,0.0,0.5242681917375273,,,,
current_assets,group_cv,4,B1_train_mean,55848,13961,0.048134087816059025,1.2663097798545146,-0.00012181664256116775,-0.00017567340792234987,0.6556269306395043,0.28517959331269993,,0.5242681917375273,0.5242681917375273,,,,
current_assets,group_cv,4,B2_group_mean,55848,13961,0.048134087816059025,1.2663097798545146,0.0010210333901785607,0.0009672381675265296,0.6566352163120992,0.28670480086791517,0.054501442534407016,0.5304387087064489,0.5242681917375273,0.14078872556370906,-0.07969497171894849,0.22048369728265754,0.05053961776859675
current_assets,group_cv,4,B3_gbm,55848,13961,0.048134087816059025,1.2663097798545146,0.09156508600350866,0.09151616659669759,0.6827879253924528,0.33818144240132064,0.165303009514671,0.5219354353224471,0.5242681917375273,0.9274069995778244,-0.304316151974021,1.2317231515518454,0.05069167749131495
current_assets,time_holdout,0,B0_zero,61731,8078,0.05038375835602872,1.3316757239761579,0.0,-0.001013120875428264,0.6912546527118429,0.30554813973411665,,0.0,0.5202711510885152,,,,
current_assets,time_holdout,0,B1_train_mean,61731,8078,0.05038375835602872,1.3316757239761579,0.000733469708173784,-0.0002789080737817251,0.6921030431142215,0.30517388022621716,,0.5202711510885152,0.5202711510885152,,,,
current_assets,time_holdout,0,B2_group_mean,61731,8078,0.05038375835602872,1.3316757239761579,0.001691816709659122,0.0006804098490567068,0.6939715218969637,0.30317439802690044,0.039065813665727915,0.5295267892061009,0.5202711510885152,0.061796875427484035,-0.07606113368407422,0.13785800911155827,0.0
current_assets,time_holdout,0,B3_gbm,61731,8078,0.05038375835602872,1.3316757239761579,0.129654311197401,0.12877254581123598,0.7064323898725858,0.3572839145140352,0.18377018280244706,0.5359144831182375,0.5202711510885152,1.1854815496631879,-0.3259334307110362,1.511414980374224,0.25639256822824696
fixed_assets,group_cv,0,B0_zero,32153,8039,0.23734295310361986,1.2957778549097818,0.0,-0.000714387082796808,0.4762190215376454,0.1624608768730535,,0.0,0.6618822378078617,,,,
fixed_assets,group_cv,0,B1_train_mean,32153,8039,0.23734295310361986,1.2957778549097818,0.0007107940278110458,-3.085272913816439e-06,0.47940420047528026,0.14559871489249515,,0.6618822378078617,0.6618822378078617,,,,
fixed_assets,group_cv,0,B2_group_mean,32153,8039,0.23734295310361986,1.2957778549097818,0.0003891070409300923,-0.00032500206882279947,0.48419835297574015,0.14753405081117807,0.14984886431888134,0.5751100962322623,0.6618822378078617,0.13831849503246763,-0.07874397310755958,0.21706246814002722,0.0898684094618582
fixed_assets,group_cv,0,B3_gbm,32153,8039,0.23734295310361986,1.2957778549097818,0.04629192682739114,0.04561061009915757,0.5162965484086005,0.1616044767171603,0.15195257431069986,0.6489969009949438,0.6618822378078617,0.5161523782374474,-0.16145966989956034,0.6776120481370078,0.00171140065237015
fixed_assets,group_cv,1,B0_zero,32153,8039,0.23784052742878467,1.3361694967962243,0.0,-8.940772000376462e-05,0.46905242111487794,0.1623139904664192,,0.0,0.6631304063979109,,,,
fixed_assets,group_cv,1,B1_train_mean,32153,8039,0.23784052742878467,1.3361694967962243,-0.0002669318224182149,-0.00035636340818778756,0.47314555083410753,0.1388976722023123,,0.6631304063979109,0.6631304063979109,,,,
fixed_assets,group_cv,1,B2_group_mean,32153,8039,0.23784052742878467,1.3361694967962243,0.00039372263567039045,0.00030435011750973295,0.47646057266431197,0.13840759605728445,0.15244487780866833,0.615635710788314,0.6631304063979109,0.1544703760458385,-0.1546705776930026,0.3091409537388411,0.0445985161427007
fixed_assets,group_cv,1,B3_gbm,32153,8039,0.23784052742878467,1.3361694967962243,0.057031540994537,0.056947232334581877,0.5143830040645827,0.1700727181808019,0.15738059106041216,0.63571078831402,0.6631304063979109,0.6239047960178543,-0.2426953676388719,0.8666001636567262,0.0024054538867880997
fixed_assets,group_cv,2,B0_zero,32154,8038,0.23500870863398857,1.2199323513511364,0.0,-0.0006968345299838141,0.43892885228846595,0.16253589459202056,,0.0,0.667262969588551,,,,
fixed_assets,group_cv,2,B1_train_mean,32154,8038,0.23500870863398857,1.2199323513511364,0.0006959595748111669,-3.8998650953026015e-07,0.44184377399751346,0.14839620403581594,,0.667262969588551,0.667262969588551,,,,
fixed_assets,group_cv,2,B2_group_mean,32154,8038,0.23500870863398857,1.2199323513511364,0.0008841669905483851,0.0001879485786537849,0.44586690739956536,0.14610946703458252,0.14570541775587528,0.6181492925678972,0.667262969588551,0.05588263804907229,-0.157720617491056,0.2136032555401283,0.021361002530817047
fixed_assets,group_cv,2,B3_gbm,32154,8038,0.23500870863398857,1.2199323513511364,0.06849930952014616,0.06785020767431604,0.4801773641160362,0.16293619602137055,0.14775721949881454,0.6493738819320215,0.667262969588551,0.556501967405483,-0.18714344004454894,0.7436454074500319,0.0
fixed_assets,group_cv,3,B0_zero,32154,8038,0.241602388653894,1.2459649598690243,0.0,-0.001346092722267711,0.4640720320019116,0.16247846384097997,,0.0,0.6576443569553806,,,,
fixed_assets,group_cv,3,B1_train_mean,32154,8038,0.241602388653894,1.2459649598690243,0.0011770076758227388,-0.00016750068497861648,0.46700601561704624,0.1506597151213382,,0.6576443569553806,0.6576443569553806,,,,
fixed_assets,group_cv,3,B2_group_mean,32154,8038,0.241602388653894,1.2459649598690243,0.0003659857636724162,-0.0009796143078224517,0.47288257235019554,0.14411548206315422,0.17105343316867114,0.6225393700787402,0.6576443569553806,0.021963292296164495,-0.15739580057851638,0.17935909287468088,0.0834482861109786
fixed_assets,group_cv,3,B3_gbm,32154,8038,0.241602388653894,1.2459649598690243,0.04394677896394683,0.04265984268100953,0.4991192734644049,0.16466020459723882,0.17283873630103785,0.6468175853018373,0.6576443569553806,0.4886580532175442,-0.27189381946042535,0.7605518726779695,0.019166815473807802
fixed_assets,group_cv,4,B0_zero,32154,8038,0.2478228415028614,1.2807234495287896,0.0,-0.0009216803468061752,0.46080342865326024,0.1624403639698197,,0.0,0.6604366523321205,,,,
fixed_assets,group_cv,4,B1_train_mean,32154,8038,0.2478228415028614,1.2807234495287896,0.000885778781034241,-3.508516087791236e-05,0.4641516199997933,0.1435709107488234,,0.6604366523321205,0.6604366523321205,,,,
fixed_assets,group_cv,4,B2_group_mean,32154,8038,0.2478228415028614,1.2807234495287896,0.0011601349734913224,0.0002395239002898064,0.4711554128096596,0.14116603929002786,0.14063360613664957,0.6200793913331129,0.6604366523321205,0.1026411360673936,-0.06806833238785051,0.1707094684552441,0.00491867353088345
fixed_assets,group_cv,4,B3_gbm,32154,8038,0.2478228415028614,1.2807234495287896,0.07303644203222082,0.07218207793863629,0.49791368119055934,0.16828269130418722,0.17895812833441094,0.6488587495865035,0.6604366523321205,0.622412802526156,-0.25162872281036297,0.874041525336519,0.0022034018593544
fixed_assets,time_holdout,0,B0_zero,35508,4684,0.22566182749786506,1.165002461098953,0.0,-0.00026865454423563584,0.4435836343042148,0.175290039499413,,0.0,0.6556382685414943,,,,
fixed_assets,time_holdout,0,B1_train_mean,35508,4684,0.22566182749786506,1.165002461098953,9.095684324644804e-05,-0.00017767326502005076,0.44680448027154923,0.1634385758833133,,0.6556382685414943,0.6556382685414943,,,,
fixed_assets,time_holdout,0,B2_group_mean,35508,4684,0.22566182749786506,1.165002461098953,-0.0011786398231887762,-0.0014476110143690768,0.4493267671236596,0.15175137706304453,0.16657782902793025,0.6264130135097877,0.6556382685414943,0.12867714341216405,-0.05204398223511881,0.18072112564728285,0.0803648583095153
fixed_assets,time_holdout,0,B3_gbm,35508,4684,0.22566182749786506,1.165002461098953,0.02589768351063193,0.02563598649675658,0.47810676215483566,0.1682181817633617,0.14394363236115884,0.6341328921974083,0.6556382685414943,0.4918264714524165,-0.1851209450656731,0.6769474165180895,0.0251460066468496
creditors_total,group_cv,0,B0_zero,59214,14804,0.06687381788705755,1.4816005386416473,0.0,-0.002143467183131076,0.6836373889162778,0.25893967145299346,,0.0,0.5721007673374837,,,,
creditors_total,group_cv,0,B1_train_mean,59214,14804,0.06687381788705755,1.4816005386416473,0.002136199039227127,-2.689271366485002e-06,0.6878771433765984,0.2537897752851602,,0.5721007673374837,0.5721007673374837,,,,
creditors_total,group_cv,0,B2_group_mean,59214,14804,0.06687381788705755,1.4816005386416473,0.003097455864396692,0.0009606279762622849,0.6897346597894966,0.25925305504168517,0.023365623514173716,0.5641378311857536,0.5721007673374837,0.17139251917745385,0.0038494924164689513,0.1675430267609849,0.0364730942804314
creditors_total,group_cv,0,B3_gbm,59214,14804,0.06687381788705755,1.4816005386416473,0.13131728285477973,0.1294552899580259,0.7279055942535709,0.349588557316981,0.22983012877760736,0.5481395685536412,0.5721007673374837,1.2661010752519168,-0.3886764311818571,1.654777506433774,0.0607848910691224
creditors_total,group_cv,1,B0_zero,59214,14804,0.06363145095920021,1.5522962692003615,0.0,-0.0030694751971822587,0.711401156431264,0.26966456866286576,,0.0,0.5717068244120618,,,,
creditors_total,group_cv,1,B1_train_mean,59214,14804,0.06363145095920021,1.5522962692003615,0.0029055022953098364,-0.00015505453464159658,0.7143687245615531,0.26417261136223047,,0.5717068244120618,0.5717068244120618,,,,
creditors_total,group_cv,1,B2_group_mean,59214,14804,0.06363145095920021,1.5522962692003615,0.00243316487951184,-0.0006288417784221512,0.7163203641214435,0.26909312403493524,0.02617630047943196,0.5545375847641033,0.5717068244120618,0.13832171449658986,0.011502161334096088,0.12681955316249377,0.0426743834150169
creditors_total,group_cv,1,B3_gbm,59214,14804,0.06363145095920021,1.5522962692003615,0.16984797705648524,0.1672998460121694,0.7459713582233765,0.3505037261869188,0.22776071391284652,0.5445823113547829,0.5717068244120618,1.454544988542691,-0.4416692361450491,1.8962142246877403,0.135311280368219
creditors_total,group_cv,2,B0_zero,59214,14804,0.06518508511213186,1.5474962866438584,0.0,-0.0025265156070846118,0.709377031271831,0.26040426806976846,,0.0,0.5686827082881711,,,,
creditors_total,group_cv,2,B1_train_mean,59214,14804,0.06518508511213186,1.5474962866438584,0.002485978603424699,-3.425613991936416e-05,0.7132903989344941,0.2596614689623858,,0.5686827082881711,0.5686827082881711,,,,
creditors_total,group_cv,2,B2_group_mean,59214,14804,0.06518508511213186,1.5474962866438584,0.0016800494353581552,-0.0008422215006071987,0.7158725104240931,0.2656489747868012,0.017428899087664606,0.5527133463400534,0.5686827082881711,0.1296093345536118,0.013893404084519707,0.11571593046909208,0.0504241761581063
creditors_total,group_cv,2,B3_gbm,59214,14804,0.06518508511213186,1.5474962866438584,0.18124061556008542,0.1791720071968511,0.7411570797924121,0.35350438160335707,0.21610320868920113,0.5441867186935472,0.5686827082881711,1.457141944369288,-0.41267364959184855,1.8698155939611365,0.12593566502254988
