CompanyNumber,final_news_score,sentiment_direction
11057795,,neutral
SC458889,,neutral
12987369,,neutral
10851506,,neutral
14073415,,neutral
12798895,,neutral
2956861,,neutral
12110549,,neutral
7808983,,neutral
14157130,,neutral
5861377,15.254909515051466,positive
3356472,,neutral
14915202,,neutral
14173133,,neutral
9865267,,neutral
13328950,,neutral
6451801,,neutral
8580171,,neutral
15464545,,neutral
13180206,,neutral
13957479,,neutral
11453526,,neutral
6492082,,neutral
10366556,,neutral
13504573,,neutral
13611261,,neutral
12750563,,neutral
16075378,14.173620612954629,positive
611593,,neutral
11320379,13.785611831529398,positive
NI706124,,neutral
12959423,,neutral
12625046,,neutral
13938784,,neutral
13510171,,neutral
12870002,,neutral
6412558,,neutral
13819336,,neutral
SC406277,,neutral
11270218,,neutral
13583727,,neutral
9613654,,neutral
7407445,,neutral
15508758,,neutral
8997639,,neutral
3913799,,positive
4109782,,neutral
7508708,,neutral
4346639,,neutral
2254388,,neutral
15101907,,neutral
5051971,,neutral
7178640,,neutral
8569696,,neutral
6382135,,neutral
10423463,,neutral
6265531,,neutral
395597,,negative
8336132,,neutral
15784306,,neutral
SC672828,,neutral
10738821,,neutral
9842502,,neutral
2510531,,neutral
7632677,,neutral
10228204,,neutral
8090394,,neutral
13285649,,neutral
11898589,,neutral
12747669,,neutral
13465741,,neutral
8385857,,neutral
SC770212,,neutral
6868001,,neutral
8164721,,neutral
14316015,,neutral
12003190,20.955494872407133,positive
15433040,,neutral
12773942,,neutral
14506489,,neutral
8491302,,neutral
837073,,neutral
8814756,,positive
12450617,,neutral
10475390,,positive
7902140,,neutral
6138951,,neutral
12078525,,neutral
14725065,,neutral
11445750,,neutral
11232471,,neutral
11293483,,neutral
12596431,,neutral
12502464,,neutral
NI661258,,neutral
11828796,,neutral
15815573,,neutral
14550345,,neutral
5245305,,neutral
12712081,,neutral
2941665,,neutral
14664995,,neutral
15991465,,neutral
8389495,,neutral
5905811,,neutral
10496952,,neutral
11970190,,neutral
13634305,,neutral
7056324,,neutral
15039482,,neutral
13193682,,neutral
6969801,,neutral
5821169,,neutral
8028426,,neutral
8037389,,neutral
6827539,,neutral
3829170,,neutral
4429000,,neutral
7788399,,neutral
12423411,,neutral
13594085,,neutral
9025123,,neutral
14918254,,neutral
13633654,,neutral
10825014,,neutral
14461994,,neutral
12376580,,neutral
13168688,,neutral
5192156,,neutral
15302671,,neutral
7476338,,neutral
8664890,,neutral
9253767,,neutral
15086791,,neutral
8358987,,neutral
NI046622,,neutral
1878927,,neutral
5755481,,neutral
15312932,,neutral
1591069,,neutral
8827596,,neutral
9280501,,neutral
6443911,,neutral
12487890,,neutral
10489237,,neutral
10139464,,neutral
12498992,,neutral
13805746,,neutral
9939609,,neutral
8202469,,neutral
13166765,,neutral
10760077,,neutral
13698889,,neutral
10343161,,neutral
SC544423,35.25815860977428,positive
13983124,,neutral
9557664,,neutral
9246106,,neutral
7286230,,neutral
12423193,,neutral
8132946,,neutral
12948566,,neutral
12971841,,neutral
3570425,,neutral
7999124,,neutral
11108577,,neutral
3755289,,positive
14502717,,neutral
10408625,,neutral
13178919,,neutral
13810151,,neutral
8512592,,neutral
SC593428,,neutral
14730559,,neutral
7538380,16.43705037867661,positive
11439561,,neutral
9716012,,neutral
4938556,,neutral
13572353,16.038110615257512,positive
14563215,,neutral
14607246,,neutral
15853338,,neutral
6996197,,neutral
8364432,,neutral
694011,,neutral
13149847,,neutral
9976037,,neutral
1518307,,neutral
206971,,neutral
13077966,,neutral
6995154,,neutral
14077488,,neutral
14886947,12.956374061838163,positive
6024404,,neutral
8436048,,neutral
SC395743,,neutral
NI648848,,neutral
SC231299,,neutral
6034670,,neutral
15322669,,neutral
15523672,,neutral
8505551,,neutral
NI667406,,neutral
8217617,11.332839725552915,neutral
14508294,,neutral
9008253,,neutral
896790,,neutral
15391148,,neutral
14092002,,neutral
SC662839,,neutral
NI056398,,positive
6959393,,neutral
7254897,,neutral
12288260,,neutral
4602376,,neutral
15212763,,neutral
13197687,,neutral
10026499,,neutral
7425580,,neutral
3083208,,neutral
8726834,,neutral
13924176,,neutral
SC755157,,positive
3748100,,neutral
2320406,,neutral
13414916,,neutral
14073260,,neutral
2461695,,neutral
5766245,,neutral
13611880,,neutral
SC343838,,neutral
11659257,,neutral
14247023,,neutral
6888964,,neutral
11479924,,neutral
15599392,,neutral
SC791711,,neutral
12609826,,neutral
15326231,,neutral
12652093,,neutral
3595783,,neutral
12637723,,neutral
13897176,,neutral
10820438,,neutral
684992,,neutral
5176976,,neutral
13049026,,neutral
8588056,,neutral
13515638,,neutral
10192120,,neutral
NI638589,,neutral
1122757,,neutral
12534252,,neutral
11288284,,neutral
11209056,,neutral
12317797,,neutral
14946044,,neutral
9912185,,neutral
NI670758,,neutral
4731974,,neutral
13139110,,neutral
6829762,,neutral
9818240,,neutral
15290972,,neutral
2584418,,negative
2205215,,neutral
13520640,,neutral
13774600,,neutral
11985644,,neutral
11235702,,neutral
4990796,,neutral
14885946,,neutral
8488782,,neutral
8835185,,neutral
5554981,,neutral
12278092,,neutral
13010154,,neutral
1020000,,neutral
4495750,,neutral
13663108,,neutral
14149545,,neutral
15670215,,neutral
12806443,,neutral
14920715,,neutral
13774670,,neutral
5835266,,neutral
7596922,,neutral
9075338,,neutral
11708751,,neutral
5685045,,neutral
6920109,,neutral
9989422,,neutral
10291939,,neutral
14942374,,neutral
16169189,,neutral
15251221,,neutral
11294007,,neutral
14099979,,neutral
12293925,,neutral
13781269,,neutral
9215120,22.62873149488184,positive
7680347,,neutral
13361555,,neutral
SC784708,,neutral
13852355,,neutral
10501847,,neutral
11591314,,neutral
13879781,,neutral
3823810,,neutral
5044573,,neutral
12142129,,neutral
1726336,,neutral
11895811,13.179729679916822,positive
10038940,,neutral
3489513,,neutral
15699773,,neutral
13439540,,neutral
3779729,,neutral
4700441,,neutral
15688322,,neutral
15662481,,neutral
4179596,,neutral
12950121,,neutral
15274041,,neutral
13772867,,neutral
14778202,,positive
13824084,,neutral
15490113,,neutral
SC387699,,neutral
13760351,,neutral
13744304,,neutral
1071062,,neutral
4818641,,neutral
13945170,,neutral
15477146,,neutral
13097811,,neutral
14843049,,neutral
15601558,,neutral
15002867,,neutral
NI677252,,neutral
9968915,,neutral
3087749,,neutral
15153616,,neutral
1162792,,neutral
6663253,,neutral
2081686,,neutral
SC241845,,neutral
10292966,,neutral
2755596,,neutral
14968239,,neutral
15819437,,neutral
SC754983,,neutral
3058400,,neutral
11928535,,neutral
11506361,,neutral
SC643637,,neutral
11600699,,neutral
12843594,,neutral
NI706253,,neutral
15708867,,neutral
6567399,,neutral
4251718,27.177099350579443,positive
SC513979,,neutral
11040813,,neutral
14014399,,neutral
5106636,,neutral
15658625,,neutral
13291973,,neutral
6160326,,neutral
1353440,,neutral
13318747,,neutral
9555724,,neutral
13240378,,neutral
14145322,,neutral
10149242,,neutral
8269246,,neutral
15855230,,neutral
14949065,,neutral
13864613,,neutral
14210036,,neutral
12785139,,neutral
8816941,,neutral
14871846,,neutral
2616184,,neutral
15781153,,neutral
14223227,,neutral
9042997,,neutral
8368155,,neutral
3746771,,neutral
9064136,,neutral
15093818,,neutral
12337774,,neutral
NI635226,,neutral
12861839,,neutral
4077410,,neutral
15696587,,neutral
2820179,,neutral
1404027,,neutral
12942507,,neutral
10451808,,neutral
12246048,,neutral
8280619,,neutral
15369702,,neutral
1601022,,neutral
953937,,neutral
11950399,,neutral
8214671,,neutral
6416372,,neutral
13937502,,neutral
2262011,,neutral
11959101,,neutral
1222926,,neutral
6539514,,neutral
11738639,,neutral
5087688,,neutral
2451145,,neutral
14205331,,neutral
5687042,,neutral
5922766,,neutral
3294755,,neutral
11779543,,neutral
11454093,,neutral
SC380197,,neutral
14277804,,neutral
11136797,,positive
10343236,,neutral
2289977,,neutral
SC552800,,neutral
12325858,,neutral
14458007,,neutral
10429730,,neutral
11236581,,neutral
13552446,,neutral
15924212,,neutral
3059688,,neutral
11267432,,neutral
6831284,11.816149863383002,neutral
13160793,,neutral
14429471,,neutral
14472316,,neutral
8340212,,neutral
12100206,,neutral
4279185,,neutral
13098765,,neutral
11624622,,neutral
15714033,,neutral
12300479,,neutral
4549046,,neutral
10642940,,neutral
14987632,,neutral
12560253,,neutral
14546643,,neutral
3428343,,neutral
5148645,,neutral
12229591,,neutral
11620742,,neutral
SC039117,,neutral
11093312,,neutral
14146508,,neutral
4000821,,neutral
12847016,,neutral
4222489,,neutral
13907640,,neutral
SC567471,,neutral
6208218,,neutral
10563584,,neutral
9351604,,neutral
7630562,,neutral
13727795,,neutral
3076007,12.801794058953755,neutral
15835266,,neutral
14262173,,neutral
12153476,,neutral
14335529,,neutral
15884881,,neutral
13596789,,neutral
13171288,,neutral
14867559,,neutral
NI651712,,neutral
9070661,,neutral
11639038,,neutral
14164872,,neutral
12786651,,neutral
8674656,,neutral
2741817,,neutral
10667480,,neutral
10851222,,neutral
10901523,,neutral
NI631811,,neutral
15305748,,neutral
2742899,,neutral
13261349,,neutral
8358594,,neutral
1941430,,neutral
13411785,,neutral
SC310405,,neutral
15413027,,neutral
10935405,,neutral
9969750,,neutral
11861896,,neutral
13358126,,neutral
11345108,,neutral
7627650,,neutral
9191653,,neutral
11240745,,neutral
5477044,,neutral
14560284,,neutral
14104606,,neutral
8649249,,neutral
15164223,,neutral
14191659,14.18928803191416,positive
SC817527,,neutral
11616751,,neutral
8118154,,neutral
1849863,,neutral
9781007,,neutral
10144028,,neutral
10194864,,neutral
15027084,,neutral
10685972,,neutral
SC783428,,neutral
15117901,,neutral
14395658,,neutral
15378109,,neutral
10165024,,neutral
11394186,,neutral
12090036,,negative
11469010,,neutral
11680666,,neutral
11770440,,neutral
13176607,,neutral
5731764,15.649482764718277,positive
6595781,,neutral
11218320,,neutral
14035555,,neutral
3353444,,neutral
14139984,,neutral
5235871,14.374188290187881,positive
15387539,,neutral
10870879,,neutral
11243272,,neutral
10289376,,neutral
9806416,,neutral
6405157,,neutral
14765369,,neutral
9254941,,neutral
9847838,,neutral
14160718,40.42708110975232,positive
8862555,,neutral
5939937,,neutral
10285179,,neutral
10736773,,neutral
2564468,,positive
12330602,,neutral
15838032,,neutral
10108994,,neutral
14981698,,neutral
10538034,,neutral
5112464,,neutral
14735253,,neutral
12442808,,neutral
8052656,,neutral
11671760,,neutral
2544671,,neutral
SC551392,,neutral
10357155,,neutral
12457740,,neutral
8565132,,neutral
5495827,,positive
15858980,,neutral
5000752,,neutral
12246499,,neutral
4631799,,neutral
15072454,,neutral
SC817626,,neutral
12709687,,neutral
2254220,,neutral
5794303,,neutral
8101429,,neutral
7054529,,neutral
14486556,,neutral
14792564,,neutral
15608019,,positive
1450649,,neutral
12959588,,neutral
8763315,,neutral
7168227,,neutral
10937818,,neutral
15541184,,neutral
SC247253,,neutral
3493085,,neutral
12273995,,neutral
9495768,,neutral
12737118,12.570396064828772,positive
9289467,,neutral
14439990,17.772526874048747,negative
