financial_cluster_id,current_assets_signed_log_change__count,current_assets_signed_log_change__median,current_assets_signed_log_change__mean,fixed_assets_signed_log_change__count,fixed_assets_signed_log_change__median,fixed_assets_signed_log_change__mean,creditors_total_signed_log_change__count,creditors_total_signed_log_change__median,creditors_total_signed_log_change__mean,equity_signed_log_change__count,equity_signed_log_change__median,equity_signed_log_change__mean,net_assets_liabilities_signed_log_change__count,net_assets_liabilities_signed_log_change__median,net_assets_liabilities_signed_log_change__mean,cash_signed_log_change__count,cash_signed_log_change__median,cash_signed_log_change__mean,debtors_signed_log_change__count,debtors_signed_log_change__median,debtors_signed_log_change__mean,employees_signed_log_change__count,employees_signed_log_change__median,employees_signed_log_change__mean,total_assets_less_current_liabilities_signed_log_change__count,total_assets_less_current_liabilities_signed_log_change__median,total_assets_less_current_liabilities_signed_log_change__mean
FC01,7254,0.0,0.3316386265631527,3048,0.0,0.020698455681620136,7054,0.03670202904986471,0.8442905399942233,7685,0.0,-0.48814801512250816,7185,0.0,-0.48564110077097783,1187,0.0505611150755154,0.2838568632400136,870,0.0,0.11096100460225888,7453,0.0,-0.003487723688248851,7248,0.0,-0.6814614019973266
FC02,10751,0.0,0.0006908357204672207,5403,-0.0058593917638916,-0.059240850863758236,11042,0.027294018457095302,-0.013627576733078,11039,0.0,3.0037998003796296,9561,-0.0178219143689748,3.166092410280454,4283,0.0,0.014748247397121493,3768,0.0,0.04936196948593878,10247,0.0,-0.06143318742226439,10350,-0.0185260918665539,1.992236850646417
FC03,27457,-0.0046113749958767,-0.10843520558976973,14831,-0.0345559503983938,-0.02326326427428319,27492,0.00871299426430025,-0.04716036570665376,27345,0.0,-0.7280644114785043,22292,0.0089970288027885,-0.7540468097954105,10058,-0.00615831181749185,-0.11929316995584767,9185,0.0,-0.05993162256225886,26740,0.0,-0.040268615665918765,24485,-0.0018783150428216,-0.6012114572578534
FC04,10907,0.0401348364204299,0.003957716175546277,8149,0.0,-0.05758477441411278,11050,0.0,-0.13758407928038777,10903,0.0359232058176175,-0.877610892258204,9341,0.0682919464926978,-1.094894657944194,3958,0.030352219260758102,0.019453554004003466,3490,0.0,0.08396539474481989,10500,0.0,-0.056515977597890954,9873,0.0259316410021384,-0.7682316101107675
FC05,9951,0.0221593614397441,-0.004538145330109934,5962,-0.00621994924415675,-0.00047632032211479525,9970,0.04438459096960565,0.08846067249225713,9639,0.0143288782245427,-0.5373381395973379,8935,0.0436415208504961,-0.4300649739331509,7599,0.0021946693303203,-0.053069519976775524,7565,0.0282633816566715,0.0386605563264955,10027,0.0,-0.3568641886179903,9367,0.0162524444188569,-0.3826298680641278
