financial_cluster_id,companies,cash,creditors_total,current_assets,debtors,employees,equity,fixed_assets,net_assets_liabilities,net_current_assets_liabilities,total_assets_less_current_liabilities,negative_equity_flag_rate,working_capital_deficit_flag_rate,reported_loss_flag_rate,creditors_exceed_current_assets_flag_rate,core_fields_complete_flag_rate,has_two_plus_financial_periods_flag_rate,company_share,cluster_name_auto
FC01,12828,715.0,380.0,979.0,562.0,0.0,400.0,1099.0,459.5,424.5,987.0,0.09790428526743822,0.117698274497388,0.3233333333333333,0.30228644956943485,0.0934674150296227,0.7343311506080449,0.1514325176187272,Low employee scale + Low creditor scale
FC02,15056,3482.0,39934.0,9000.0,7700.0,1.0,-12092.0,8134.0,-15571.0,-16480.0,-4878.0,0.8853409772681822,0.8747227636265879,0.6211267605633802,0.8860004261666311,0.23439160467587672,0.816817215727949,0.17773370636635147,Low net assets + Low equity + elevated negative-equity rate
FC03,34734,27098.5,16523.0,49729.0,18694.5,1.0,22469.5,4335.0,26112.0,23220.165,38275.0,0.0027711335394667758,0.036654468185574315,0.1850768105340161,0.021160022671452863,0.2512235849599816,0.8485921575401624,0.4100293940574424,High equity + High net assets
FC04,12549,9244.0,77054.0,17212.0,7599.0,1.0,10365.0,105624.0,14506.0,-5321.0,43212.0,0.028346328784925275,0.6491687822455163,0.23952095808383234,1.0,0.26320822376284964,0.8436528807076261,0.148138966604101,High fixed-assets scale + High creditor scale + working-capital pressure
FC05,9544,158542.5,165614.0,445637.0,215523.0,8.0,189596.5,49863.0,266902.0,177906.0,337500.5,0.004794072782741338,0.07898910859680659,0.12342857142857143,0.0764399020547216,0.6413453478625314,0.8904023470243084,0.11266541535337796,High current-assets scale + High net assets
