cohort,k,n_companies,fit_sample_size,inertia_per_fit_company,silhouette,calinski_harabasz,davies_bouldin,bootstrap_ari_mean,bootstrap_ari_min,min_cluster_share,max_cluster_share,normalized_cluster_entropy,score_silhouette,score_calinski,score_davies,score_stability,score_balance,composite_score,business_size_eligible,stability_eligible,fully_eligible
broad_eligible,3,84711,60000,0.578372958179151,0.2204173128683504,2875.7862359755095,1.40738745670088,0.9730058350130425,0.959613574117721,0.1942132662818288,0.4843172669429,0.9414005464756262,0.16666666666666666,1.0,0.16666666666666666,0.5,0.8333333333333334,0.5166666666666667,True,True,True
broad_eligible,4,84711,60000,0.48720335334594894,0.25884567383676405,2758.496386823559,1.2052928988912224,0.9649857667960982,0.94935949381975,0.14898891525303679,0.38110753030893274,0.9528738483329687,0.3333333333333333,0.8333333333333334,0.6666666666666666,0.16666666666666666,1.0,0.5333333333333333,True,True,True
broad_eligible,5,84711,60000,0.4233925814536061,0.28906191836552236,2718.0588073411423,1.151507080287582,0.9815039013693981,0.9751254821736333,0.11266541535337796,0.4100293940574424,0.9241119057538726,0.8333333333333334,0.6666666666666666,1.0,0.8333333333333334,0.6666666666666666,0.7916666666666666,True,True,True
broad_eligible,6,84711,60000,0.37742803679848813,0.3021292765116664,2637.0090935461285,1.226477577153526,0.9775961803642939,0.9688693438625549,0.06735843042816163,0.4053546764882955,0.9001642581302195,1.0,0.5,0.5,0.6666666666666666,0.16666666666666666,0.5916666666666666,True,True,True
broad_eligible,7,84711,60000,0.34510851656148306,0.26378057366878066,2522.472368344346,1.2477585303758427,0.981637932328734,0.9790919799554297,0.05438490868954445,0.31988761790086295,0.9164161621654762,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.5,0.6583333333333333,True,True,True
broad_eligible,8,84711,60000,0.31459026499740955,0.2600994298384616,2490.9794870569262,1.200449877551409,0.9710300046440691,0.9685961780100312,0.0500643363907875,0.2855001121460023,0.9061140881102904,0.5,0.16666666666666666,0.8333333333333334,0.3333333333333333,0.3333333333333333,0.4083333333333333,True,True,True
complete_core,3,22878,22878,0.5493509116198639,0.3027188882637486,3547.125256429917,1.15611311563274,0.9816908225606654,0.9733742914618362,0.1794737302211732,0.5730396013637555,0.8856131664261178,0.6666666666666666,1.0,0.8333333333333334,0.8333333333333334,0.3333333333333333,0.6833333333333333,True,True,True
complete_core,4,22878,22878,0.45813200206544796,0.3210729078097629,3409.6498365382213,1.1354551670143258,0.9917627051768109,0.9882016574247748,0.14756534662120815,0.44968965818690443,0.9263776424897732,0.8333333333333334,0.8333333333333334,1.0,1.0,0.6666666666666666,0.8583333333333333,True,True,True
complete_core,5,22878,22878,0.40309858877001076,0.3361641190815334,3175.562110323648,1.2573656685157988,0.7486541948428923,0.6264743419267446,0.08720167846839759,0.44619284902526446,0.8792364435483264,1.0,0.6666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.475,True,True,True
complete_core,6,22878,22878,0.3512600872347092,0.28469789198396694,3145.575343004367,1.221492730704925,0.9432841379866987,0.9188863026730562,0.08213130518401958,0.3154996066089693,0.9389852298028684,0.5,0.5,0.3333333333333333,0.5,1.0,0.6083333333333333,True,True,True
complete_core,7,22878,22878,0.3259092102227403,0.27490249432470376,2894.948645535834,1.2103925440565995,0.7035730025115307,0.57504081838397,0.023428621382988023,0.24748666841507125,0.911229658332539,0.3333333333333333,0.3333333333333333,0.5,0.16666666666666666,0.5,0.3416666666666667,True,True,True
complete_core,8,22878,22878,0.30396153153047795,0.2614674445161912,2723.667935115298,1.1581359145456003,0.9577856824571193,0.954403855759373,0.022729259550660023,0.22877873940029722,0.9377708052878782,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.5333333333333333,True,True,True
