Accounts_AccountCategory,companies,matched_companies,turnover_companies,useful_financial_evidence_companies,two_plus_matched_period_companies,two_plus_financial_evidence_period_companies,two_plus_turnover_period_companies,matched_companies_rate,turnover_companies_rate,useful_financial_evidence_companies_rate,two_plus_matched_period_companies_rate,two_plus_financial_evidence_period_companies_rate,two_plus_turnover_period_companies_rate
MICRO ENTITY,53241,52667,1872,52457,42473,42218,643,0.9892188351082812,0.0351608722601003,0.9852745064893597,0.7977498544354914,0.7929603125410868,0.012077158580792998
TOTAL EXEMPTION FULL,36917,35186,826,34990,29289,29078,281,0.9531110328574911,0.022374515805726358,0.9478018257171493,0.7933743261911856,0.7876588021778584,0.007611669420592139
UNAUDITED ABRIDGED,4515,4433,34,4431,3693,3690,0,0.9818383167220377,0.007530454042081949,0.9813953488372092,0.8179401993355482,0.8172757475083057,0.0
FULL,1834,570,235,541,405,387,142,0.3107960741548528,0.12813522355507087,0.29498364231188656,0.2208287895310796,0.21101417666303163,0.07742639040348964
SMALL,1781,997,52,994,750,748,15,0.5597978663672094,0.029197080291970802,0.5581134194272881,0.4211117349803481,0.41998877035373383,0.008422234699606962
AUDIT EXEMPTION SUBSIDIARY,902,59,3,59,1,1,0,0.06541019955654102,0.0033259423503325942,0.06541019955654102,0.0011086474501108647,0.0011086474501108647,0.0
GROUP,627,246,23,244,172,172,13,0.3923444976076555,0.03668261562998405,0.38915470494417864,0.2743221690590112,0.2743221690590112,0.02073365231259968
MEDIUM,183,154,138,154,129,129,104,0.8415300546448088,0.7540983606557377,0.8415300546448088,0.7049180327868853,0.7049180327868853,0.5683060109289617
