primary_sector,companies,matched_companies,turnover_companies,useful_financial_evidence_companies,two_plus_matched_period_companies,two_plus_financial_evidence_period_companies,two_plus_turnover_period_companies,matched_companies_rate,turnover_companies_rate,useful_financial_evidence_companies_rate,two_plus_matched_period_companies_rate,two_plus_financial_evidence_period_companies_rate,two_plus_turnover_period_companies_rate
"Technology, legal & professional",26432,24988,845,24889,20592,20472,295,0.9453692493946732,0.03196882566585956,0.941623789346247,0.7790556900726392,0.7745157384987893,0.011160714285714286
Real Estate,24727,23606,406,23416,19467,19265,141,0.9546649411574393,0.01641929874226554,0.9469810328790391,0.7872770655558701,0.7791078578072552,0.005702268775023254
Wholesale & Retail,17841,17193,629,17176,13641,13613,253,0.9636791659660333,0.035255871307662126,0.9627263045793397,0.7645871868168824,0.7630177680623283,0.014180819460792556
Fast growth & emerging sector,9761,9334,423,9299,7466,7409,165,0.9562544821227333,0.04333572379879111,0.9526687839360721,0.764880647474644,0.7590410818563672,0.0169040057371171
Healthcare,7913,7329,262,7291,6014,5980,91,0.9261973966889928,0.033110072033362824,0.9213951725009478,0.7600151649184885,0.7557184380133957,0.011500063187160368
Manufacturing,7066,6531,302,6520,5478,5466,129,0.9242853099348995,0.04273988112086046,0.922728559298047,0.7752618171525616,0.7735635437305406,0.018256439286725164
"Public sector, education & charities",4697,3841,267,3789,2989,2957,100,0.8177560144773259,0.056844794549712585,0.806685118160528,0.6363636363636364,0.6295507770917607,0.021290185224611454
Agriculture,1563,1490,49,1490,1265,1261,24,0.9532949456174025,0.03134996801023673,0.9532949456174025,0.8093410108765196,0.8067818298144593,0.015355086372360844
